NAME                                   READY   STATUS    RESTARTS      AGE   IP            NODE                         NOMINATED NODE   READINESS GATES
qos-pressure-deploy-647b468b7d-p2stw   0/1     Evicted   0             28s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-phfwd   0/1     Evicted   0             28s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-pspx4   0/1     Pending   0             22s   <none>        <none>                       <none>           <none>
qos-pressure-deploy-647b468b7d-qdtf9   0/1     Evicted   0             26s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-qjnn6   0/1     Evicted   0             25s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-qqhl9   0/1     Evicted   0             25s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-qvmr8   0/1     Evicted   0             25s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-r2b8c   1/1     Running   2 (33s ago)   45s   10.244.0.11   ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-r2jdr   0/1     Evicted   0             26s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-sjtll   0/1     Evicted   0             24s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-tkr79   0/1     Evicted   0             25s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-tldk8   0/1     Evicted   0             23s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-tn258   0/1     Evicted   0             26s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-tn7qj   0/1     Evicted   0             23s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-wlgbn   0/1     Evicted   0             24s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-wrl7d   0/1     Evicted   0             22s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-wvcqq   0/1     Evicted   0             25s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-x92sv   0/1     Evicted   0             28s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-xrq4s   0/1     Evicted   0             22s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-zcht8   0/1     Evicted   0             26s   <none>        ai-infra-lab-control-plane   <none>           <none>
qos-pressure-deploy-647b468b7d-zwfcm   0/1     Pending   0             10s   <none>        <none>                       <none>           <none>
