LAST SEEN   TYPE      REASON                         OBJECT                                     MESSAGE
3m17s       Normal    Pulled                         pod/model-server-loadgen-rjj78             Container image "curlimages/curl:8.12.1" already present on machine
2m51s       Normal    SuccessfulCreate               replicaset/model-server-56595589db         Created pod: model-server-56595589db-zdqn2
2m51s       Normal    SuccessfulRescale              horizontalpodautoscaler/model-server-hpa   New size: 4; reason: cpu resource utilization (percentage of request) above target
2m51s       Normal    ScalingReplicaSet              deployment/model-server                    Scaled up replica set model-server-56595589db from 2 to 4
2m51s       Normal    Scheduled                      pod/model-server-56595589db-4w98s          Successfully assigned default/model-server-56595589db-4w98s to ai-infra-lab-control-plane
2m51s       Normal    Scheduled                      pod/model-server-56595589db-zdqn2          Successfully assigned default/model-server-56595589db-zdqn2 to ai-infra-lab-control-plane
2m51s       Normal    SuccessfulCreate               replicaset/model-server-56595589db         Created pod: model-server-56595589db-4w98s
2m50s       Normal    Pulled                         pod/model-server-56595589db-4w98s          Container image "fastapi-model-server:0.1.1" already present on machine
2m49s       Normal    Created                        pod/model-server-56595589db-4w98s          Created container: model-server
2m49s       Normal    Created                        pod/model-server-56595589db-zdqn2          Created container: model-server
2m49s       Normal    Pulled                         pod/model-server-56595589db-zdqn2          Container image "fastapi-model-server:0.1.1" already present on machine
2m48s       Normal    Started                        pod/model-server-56595589db-4w98s          Started container model-server
2m48s       Normal    Started                        pod/model-server-56595589db-zdqn2          Started container model-server
2m33s       Normal    Scheduled                      pod/model-server-56595589db-pgs4t          Successfully assigned default/model-server-56595589db-pgs4t to ai-infra-lab-control-plane
2m33s       Normal    SuccessfulCreate               replicaset/model-server-56595589db         Created pod: model-server-56595589db-pgs4t
2m33s       Normal    Started                        pod/model-server-56595589db-pgs4t          Started container model-server
2m33s       Normal    SuccessfulCreate               replicaset/model-server-56595589db         Created pod: model-server-56595589db-lclsw
2m33s       Normal    Created                        pod/model-server-56595589db-pgs4t          Created container: model-server
2m33s       Normal    Pulled                         pod/model-server-56595589db-pgs4t          Container image "fastapi-model-server:0.1.1" already present on machine
2m33s       Normal    Scheduled                      pod/model-server-56595589db-lclsw          Successfully assigned default/model-server-56595589db-lclsw to ai-infra-lab-control-plane
2m33s       Normal    SuccessfulRescale              horizontalpodautoscaler/model-server-hpa   New size: 6; reason: cpu resource utilization (percentage of request) above target
2m33s       Normal    Started                        pod/model-server-56595589db-lclsw          Started container model-server
2m33s       Normal    Created                        pod/model-server-56595589db-lclsw          Created container: model-server
2m33s       Normal    Pulled                         pod/model-server-56595589db-lclsw          Container image "fastapi-model-server:0.1.1" already present on machine
2m33s       Normal    ScalingReplicaSet              deployment/model-server                    Scaled up replica set model-server-56595589db from 4 to 6
107s        Normal    Completed                      job/model-server-loadgen                   Job completed
